month,close_btc,high_btc,low_btc,close_sp500,high_sp500,low_sp500,close_gold,high_gold,low_gold,avg_cpi
2014-09,386.9440002441,493.9280090332,372.2399902344,23.26,23.75,22.91,1207.83,1286.02,1207.83,100.93035
2014-10,338.3210144043,411.6979980469,289.2959899902,23.95,24.1,21.7,1171.52,1248.55,1170.79,100.91037
2014-11,378.0469970703,457.0929870605,320.6260070801,25.28,25.29,23.8,1165.88,1201.13,1140.71,100.72039
2014-12,320.1929931641,384.0379943848,304.2319946289,25.41,25.7,23.85,1186.83,1230.94,1173.87,100.40971
2015-01,217.4640045166,320.4349975586,171.5099945068,25.4,26.29,24.76,1283.56,1301.79,1188.11,99.77007
2015-02,254.2630004883,265.6109924316,212.0149993896,26.03,26.17,25.01,1212.78,1275.13,1199.52,100.02295
2015-03,244.2239990234,300.0440063477,236.5149993896,26.64,27.05,25.88,1183.57,1206.97,1149.12,100.29241
2015-04,236.1450042725,261.7980041504,214.8739929199,26.0,27.39,25.78,1183.97,1214.48,1178.97,100.39696
2015-05,230.1900024414,247.8040008545,228.5729980469,26.27,26.69,25.25,1190.42,1225.35,1178.03,100.72804
2015-06,263.0719909668,267.8670043945,221.296005249,24.93,26.52,24.84,1171.83,1202.0,1171.29,101.00685
2015-07,284.6499938965,314.3940124512,253.5050048828,25.7,26.07,25.06,1095.48,1170.39,1088.23,101.16708
2015-08,230.0559997559,285.7149963379,199.5670013428,24.7,25.87,22.42,1134.71,1160.65,1084.4,101.16666
2015-09,236.0599975586,259.1820068359,225.1170043945,24.01,24.71,23.48,1114.47,1154.16,1102.15,100.93927
2015-10,314.1659851074,334.1690063477,235.6159973145,25.69,26.01,23.67,1141.74,1186.15,1113.37,101.03915
2015-11,377.3210144043,495.5620117188,300.9970092773,26.4,26.63,25.29,1064.37,1133.57,1056.61,101.15986
2015-12,430.566986084,469.1029968262,349.4649963379,26.39,26.8,25.15,1060.81,1087.06,1050.95,101.05105
2016-01,368.766998291,462.9339904785,354.9140014648,25.68,26.18,24.46,1117.99,1125.44,1073.94,101.00473
2016-02,437.6969909668,448.0459899902,367.9570007324,26.76,26.96,23.71,1238.3,1248.74,1127.74,100.87042
2016-03,416.7290039063,439.6530151367,394.0350036621,27.24,27.56,26.37,1232.44,1272.02,1216.58,101.18663
2016-04,448.3179931641,467.9649963379,415.8309936523,26.71,28.01,26.71,1293.68,1294.2,1215.2,101.57424
2016-05,531.3859863281,553.9600219727,437.3890075684,27.44,27.5,26.46,1215.08,1291.33,1207.11,101.81437
2016-06,673.3369750977,777.9899902344,525.6359863281,29.82,29.86,26.79,1321.58,1325.15,1210.73,102.097
2016-07,624.6810302734,704.9680175781,611.833984375,31.13,31.59,29.82,1351.11,1365.68,1314.29,102.04558
2016-08,575.4719848633,626.1190185547,531.333984375,31.49,32.46,30.65,1308.81,1364.37,1308.4,102.23428
2016-09,609.7349853516,628.8179931641,570.8109741211,31.65,31.92,30.29,1315.89,1350.43,1309.66,102.50247
2016-10,700.9719848633,720.4019775391,609.4790039063,33.17,33.81,31.89,1276.87,1311.82,1250.0,102.7426
2016-11,745.6909790039,756.2369995117,678.1560058594,33.69,33.96,31.73,1172.62,1304.92,1171.97,102.86372
2016-12,963.742980957,979.3969726563,746.0460205078,34.79,35.34,32.88,1151.32,1177.52,1127.38,103.12341
2017-01,970.4030151367,1191.0999755859,755.7559814453,34.33,35.93,34.26,1210.36,1217.87,1157.37,103.54034
2017-02,1179.9699707031,1200.3900146484,946.6909790039,36.29,36.46,33.99,1248.0,1256.99,1208.71,103.70525
2017-03,1071.7900390625,1280.3100585938,903.7130126953,35.9,37.33,34.97,1248.96,1254.7,1198.21,103.6568
2017-04,1347.8900146484,1347.9100341797,1061.0899658203,35.03,36.3,34.61,1267.99,1289.84,1250.75,103.78472
2017-05,2286.4099121094,2763.7099609375,1348.3000488281,35.53,36.01,34.12,1268.7,1269.03,1218.68,103.7044
2017-06,2480.8400878906,2999.9099121094,2212.9599609375,35.4,36.97,35.28,1241.43,1294.17,1240.54,103.77197
2017-07,2875.3400878906,2916.1398925781,1843.0300292969,35.63,36.49,35.31,1269.37,1269.81,1212.16,103.80597
2017-08,4703.3901367188,4736.0498046875,2668.5900878906,36.48,36.6,35.43,1321.41,1322.43,1257.12,104.20548
2017-09,4338.7099609375,4975.0400390625,2946.6201171875,35.62,36.53,34.89,1279.37,1349.78,1278.86,104.7376
2017-10,6468.3999023438,6470.4301757813,4164.0498046875,36.88,37.34,35.77,1271.0,1303.64,1266.5,104.81878
2017-11,10233.599609375,11517.400390625,5519.009765625,37.26,37.63,36.86,1274.7,1294.39,1269.69,105.09843
2017-12,14156.400390625,20089.0,9694.650390625,37.88,38.47,36.83,1302.33,1302.73,1241.54,105.31986
2018-01,10221.099609375,17712.400390625,9402.2900390625,37.79,38.88,37.46,1344.94,1358.49,1312.35,105.76782
2018-02,10397.900390625,11958.5,6048.259765625,37.81,38.31,35.14,1318.08,1353.5,1315.24,106.05258
2018-03,6973.5297851563,11704.099609375,6683.9301757813,35.61,38.44,34.71,1325.04,1353.62,1310.87,106.07298
2018-04,9240.5498046875,9745.3203125,6526.8701171875,36.92,37.14,34.63,1314.98,1353.36,1314.88,106.34924
2018-05,7494.169921875,9964.5,7090.6801757813,38.9,39.01,36.38,1298.24,1321.23,1290.16,106.58937
2018-06,6404.0,7754.8901367188,5826.41015625,39.38,52.82,38.76,1252.74,1302.35,1247.42,106.68542
2018-07,7780.44,8424.26953125,6136.419921875,40.78,41.31,38.91,1223.94,1257.89,1221.18,106.76873
2018-08,7037.58,7769.04,5971.05,42.49,42.95,40.45,1200.78,1216.45,1173.64,106.95956
2018-09,6625.56,7388.43,6197.52,42.44,43.15,41.83,1191.51,1207.35,1182.29,107.18014
2018-10,6317.61,6965.06,6236.47,40.42,42.91,38.94,1214.48,1233.95,1187.7,107.43089
2018-11,4017.26845712,6552.16,3585.06,40.77,41.22,38.83,1221.96,1233.17,1200.16,107.35524
2018-12,3742.70033544,4309.37731216,3191.30356157,37.22,42.0,36.07,1279.48,1280.74,1230.75,107.42877
2019-01,3457.79274724,4109.02106516,3400.81972619,39.01,39.49,36.62,1321.05,1321.13,1279.87,107.34122
2019-02,3854.78528208,4210.64175454,3391.02375248,39.94,41.1,39.18,1313.08,1341.25,1305.53,107.66337
2019-03,4105.40429618,4296.8066502,3733.74966077,41.16,41.62,39.67,1292.16,1322.08,1285.26,108.07053
2019-04,5350.72669668,5642.04459312,4096.90125463,42.7,43.3,41.2,1283.29,1307.98,1271.96,108.47685
2019-05,8574.50164907,9008.31456846,5347.6461061,41.72,43.1,41.03,1305.13,1305.43,1270.48,108.50362
2019-06,10817.1555981,13796.4890807,7564.48860353,43.78,44.5,41.06,1409.91,1423.48,1324.39,108.46835
2019-07,10085.6277491,13129.5289339,9163.13464449,46.83,47.28,44.42,1412.23,1445.71,1382.83,108.71868
2019-08,9630.66384768,12273.8213783,9421.63015965,45.53,47.1,44.16,1520.55,1542.84,1439.35,108.81813
2019-09,8293.86774062,10898.7621803,7830.75876126,45.94,46.63,45.27,1472.29,1553.18,1472.23,108.98558
2019-10,9199.58483269,10021.743983,7446.98855091,44.47,46.47,43.66,1512.13,1512.77,1479.38,109.29372
2019-11,7569.63012202,9505.05167619,6617.1670508,46.28,46.65,44.53,1463.83,1514.05,1453.89,109.60142
2019-12,7193.59897843,7743.43172474,6540.04927709,46.35,47.5,44.81,1520.46,1520.53,1459.27,109.92061
2020-01,9350.52936518,9553.12613251,6914.99590793,46.61,48.65,46.33,1588.83,1590.48,1528.41,110.13184
2020-02,8599.50861972,10457.6271997,8492.93215312,43.42,50.15,42.38,1584.7,1660.92,1552.17,110.18411
2020-03,6438.64476637,9167.69579623,4106.98075029,40.22,46.71,36.02,1576.78,1679.52,1471.97,109.68515
2020-04,8658.55417975,9440.65067326,6202.37351173,43.86,45.08,37.35,1685.98,1731.76,1588.41,108.81643
2020-05,9461.05891806,9996.74335304,8374.32297508,46.4,47.29,40.0,1730.41,1747.83,1683.0,108.71868
2020-06,9137.99340026,10199.5649719,8975.52585473,47.15,48.34,44.67,1780.54,1781.4,1683.87,109.24569
2020-07,11323.4664207,11415.8638958,8977.01563525,46.83,49.17,46.6,1975.02,1975.36,1769.5,109.80245
2020-08,10804.94121976,13149.69444935,104.61895563,49.75,50.46,47.25,1968.22,2066.81,1912.06,110.21217
2020-09,10784.49157795,12059.87014159,9901.90575533,49.53,51.3,47.73,1885.23,1970.91,1859.78,110.5016
2020-10,13780.99470249,14028.21429317,10416.68920469,47.82,51.91,47.44,1878.37,1930.41,1866.14,110.63845
2020-11,19625.83502949,19749.26369425,13243.159866,51.19,52.9,48.19,1777.64,1952.49,1776.88,110.89006
2020-12,29001.71982218,29244.87668786,17619.53238938,51.83,53.18,51.25,1893.43,1894.02,1814.95,111.37202
2021-01,33114.35774753,41946.73935079,28722.75527058,51.63,53.65,51.42,1847.59,1950.83,1826.27,111.62448
2021-02,45137.77046805,58330.57214185,32384.22810648,52.29,54.12,51.45,1733.84,1861.6,1733.61,112.02144
2021-03,58918.83271375,61683.86401412,45115.09311478,54.76,54.81,51.32,1707.7,1746.72,1681.77,112.5629
2021-04,57750.17734563,64863.0989077,47159.48584083,57.43,57.6,54.78,1768.97,1794.38,1727.31,113.31857
2021-05,37332.85368874,59519.35442559,30681.49691178,56.39,57.7,54.44,1906.62,1906.78,1779.14,114.07467
2021-06,35040.83724889,41295.26857449,28893.62165844,58.93,59.04,55.85,1769.65,1909.09,1760.48,115.05474
2021-07,41626.19567624,42235.54770874,29360.95583827,60.01,60.78,58.74,1814.28,1829.79,1776.21,115.58813
2021-08,47166.68794545,50482.07640834,37458.00399335,62.53,62.79,59.71,1814.26,1818.28,1728.22,115.92261
2021-09,43790.8956254849,52853.7637963,39787.6097979604,61.14,62.77,60.31,1757.16,1828.0,1725.69,116.42838
2021-10,61318.957766606,66930.3872709899,43320.0229785376,63.65,63.71,59.66,1782.98,1807.5,1753.85,117.52746
2021-11,57005.4254735998,68789.6259389221,53569.7639630968,65.81,67.24,63.55,1774.43,1867.46,1769.87,118.50328
